L1,L2,Spherical,Coma,Astig,CLon,EFFL_mm,MS_d,GEO_over_Airy,RMS_over_Airy,GEO_R_avg_mm,RMS_R_avg_mm,EE_info,source_file,source_path,EE1,EE2,EE3,EE4
A87-84,C20-36,-19.74,-9.09,12.17,12.47,9127.20438,-1.71588e-05,37.05,20.05,82.495538,44.65052,"[19.005996154840226, 38.278755465389224, 38.49609907588609, 56.12545367895939]",metrics_A87-84_C20-36.txt,Results\metrics_A87-84_C20-36.txt,19.005996154840226,38.278755465389224,38.49609907588609,56.12545367895939
A87-84,C26-36,-17.76,-9.08,10.17,11.57,9127.201848,-1.52122e-05,35.79,20.43,79.684198,45.49898,"[17.075800536021397, 42.78972114062911, 42.70717892861042, 58.388308317924576]",metrics_A87-84_C26-36.txt,Results\metrics_A87-84_C26-36.txt,17.075800536021397,42.78972114062911,42.70717892861042,58.388308317924576
A87-84,C37-35,-19.14,-9.72,9.93,10.86,9127.194137,-9.94506e-06,39.71,23.26,88.408657,51.787624,"[17.082723697599597, 49.523681455756666, 49.523215886316976, 68.11690353666935]",metrics_A87-84_C37-35.txt,Results\metrics_A87-84_C37-35.txt,17.082723697599597,49.523681455756666,49.523215886316976,68.11690353666935
A87-84,E-F1,-17.8,-9.15,10.35,11.62,9127.193822,-1.39424e-05,35.45,19.57,78.935873,43.573543,"[15.522857138779727, 40.23282450047773, 40.3697510083858, 54.58206258618854]",metrics_A87-84_E-F1.txt,Results\metrics_A87-84_E-F1.txt,15.522857138779727,40.23282450047773,40.3697510083858,54.58206258618854
A87-84,E-F3,-18.25,-9.03,11.07,13.53,9127.190083,-1.49433e-05,37.96,18.64,84.518456,41.499672,"[21.564334962689514, 33.603479978032624, 33.398941213292545, 46.86312116409552]",metrics_A87-84_E-F3.txt,Results\metrics_A87-84_E-F3.txt,21.564334962689514,33.603479978032624,33.398941213292545,46.86312116409552
A87-84,F11,-19.98,-9.23,12.57,11.96,9127.190967,-2.44484e-05,43.01,25.23,95.76032,56.187384,"[22.758991360404316, 53.23179950066183, 52.87007914461665, 73.8389241120883]",metrics_A87-84_F11.txt,Results\metrics_A87-84_F11.txt,22.758991360404316,53.23179950066183,52.87007914461665,73.8389241120883
A87-84,F14HT,-16.57,-8.79,9.58,15.28,9127.188405,-1.38938e-05,38.83,20.58,86.456251,45.824489,"[22.043308802691858, 38.17045656678134, 37.87838981084521, 55.66307285628405]",metrics_A87-84_F14HT.txt,Results\metrics_A87-84_F14HT.txt,22.043308802691858,38.17045656678134,37.87838981084521,55.66307285628405
A87-84,F2HT,-19.73,-9.09,12.17,12.56,9127.204381,-1.70451e-05,36.96,19.94,82.289067,44.398877,"[18.37187795597888, 38.235080472295046, 37.766740740755196, 55.424950857368316]",metrics_A87-84_F2HT.txt,Results\metrics_A87-84_F2HT.txt,18.37187795597888,38.235080472295046,37.766740740755196,55.424950857368316
A87-84,F3,-19.2,-9.01,11.73,12.97,9127.204644,-1.87123e-05,36.72,19.37,81.76336,43.137515,"[18.270538581968555, 33.77129175489148, 34.025177395087816, 52.61638775122799]",metrics_A87-84_F3.txt,Results\metrics_A87-84_F3.txt,18.270538581968555,33.77129175489148,34.025177395087816,52.61638775122799
A87-84,F8,-20.11,-8.77,13.09,16.26,9127.202668,-1.69491e-05,49.4,25.77,109.994704,57.370754,"[27.052417861117682, 49.146713873326334, 48.764651346085444, 73.28903252035309]",metrics_A87-84_F8.txt,Results\metrics_A87-84_F8.txt,27.052417861117682,49.146713873326334,48.764651346085444,73.28903252035309
A87-84,F8HT,-20.12,-8.77,13.09,16.22,9127.202655,-1.9017e-05,46.95,24.42,104.528986,54.378554,"[28.629965406199346, 44.812955840479724, 44.35185961221816, 69.0122881232096]",metrics_A87-84_F8HT.txt,Results\metrics_A87-84_F8HT.txt,28.629965406199346,44.812955840479724,44.35185961221816,69.0122881232096
A87-84,LZ_F1,-18.25,-9.03,11.07,13.38,9127.190103,-1.87244e-05,36.05,19.08,80.263169,42.492752,"[18.584326690323884, 34.347403663433404, 33.87913662290765, 52.20697296050098]",metrics_A87-84_LZ_F1.txt,Results\metrics_A87-84_LZ_F1.txt,18.584326690323884,34.347403663433404,33.87913662290765,52.20697296050098
